Longitude,Latitude
76.7756,30.7760
76.7809,30.7739
76.7887,30.7810
76.7961,30.7858
76.7978,30.7853
76.8022,30.7818
76.8039,30.7790
76.7914,30.7695
76.7931,30.7665
76.8015,30.7628
76.8120,30.7666
76.8282,30.7638
76.8227,30.7401
76.8248,30.7308
76.8363,30.7143
76.8283,30.7060
76.8211,30.6968
76.8177,30.6906
76.8198,30.6858
76.8105,30.6850
76.8059,30.6803
76.8029,30.6755
76.7944,30.6693
76.7893,30.6706
76.7707,30.6779
76.7450,30.6905
76.7385,30.6892
76.7329,30.6972
76.7304,30.6975
76.7275,30.6957
76.7263,30.6959
76.7246,30.7038
76.7261,30.7049
76.7269,30.7076
76.7255,30.7100
76.7215,30.7121
76.7152,30.7133
76.7153,30.7150
76.7176,30.7175
76.7180,30.7206
76.7161,30.7286
76.7112,30.7323
76.7013,30.7453
76.6955,30.7441
76.6927,30.7447
76.6907,30.7467
76.6929,30.7574
76.6906,30.7601
76.7079,30.7701
76.7183,30.7691
76.7227,30.7707
76.7292,30.7763
76.7312,30.7770
76.7305,30.7810
76.7392,30.7861
76.7382,30.7899
76.7400,30.7911
76.7430,30.7915
76.7457,30.7946
76.7509,30.7968
76.7593,30.7990
76.7676,30.7951
76.7733,30.7879
76.7773,30.7855
76.7763,30.7840
76.7727,30.7831
76.7693,30.7770
76.7756,30.7760
77.0995,28.8724
77.1071,28.8684
77.1097,28.8661
77.1285,28.8654
77.1392,28.8417
77.1424,28.8425
77.1596,28.8574
77.1646,28.8606
77.1836,28.8623
77.1869,28.8668
77.1996,28.8649
77.2078,28.8602
77.2115,28.8549
77.2106,28.8453
77.1946,28.8154
77.1944,28.8023
77.1969,28.7953
77.2027,28.7894
77.2085,28.7872
77.2131,28.7864
77.2183,28.7876
77.2247,28.7876
77.2221,28.7837
77.2171,28.7817
77.2209,28.7779
77.2290,28.7724
77.2380,28.7592
77.2459,28.7574
77.2485,28.7575
77.2532,28.7528
77.2519,28.7455
77.2562,28.7399
77.2599,28.7381
77.2664,28.7393
77.2711,28.7382
77.2807,28.7300
77.2844,28.7239
77.2837,28.7190
77.2849,28.7125
77.2929,28.7098
77.3015,28.7167
77.3062,28.7177
77.3172,28.7172
77.3217,28.7118
77.3209,28.6997
77.3276,28.6918
77.3271,28.6852
77.3254,28.6825
77.3179,28.6793
77.3154,28.6633
77.3153,28.6514
77.3131,28.6467
77.3112,28.6446
77.3305,28.6314
77.3371,28.6219
77.3375,28.6175
77.3362,28.6089
77.3278,28.6049
77.3169,28.6000
77.3099,28.5990
77.3071,28.5969
77.2949,28.5824
77.2936,28.5797
77.2952,28.5612
77.3031,28.5505
77.3107,28.5437
77.3149,28.5415
77.3290,28.5083
77.3217,28.4994
77.3149,28.4946
77.3069,28.4907
77.3010,28.4901
77.2963,28.4912
77.2858,28.4963
77.2781,28.4981
77.2711,28.4970
77.2601,28.4884
77.2427,28.4846
77.2367,28.4797
77.2324,28.4758
77.2276,28.4697
77.2257,28.4640
77.2264,28.4603
77.2331,28.4595
77.2433,28.4475
77.2443,28.4417
77.2432,28.4337
77.2406,28.4289
77.2227,28.4190
77.2153,28.4157
77.1952,28.4125
77.1795,28.4124
77.1658,28.4085
77.1543,28.4213
77.1519,28.4283
77.1314,28.4387
77.1241,28.4392
77.1183,28.4424
77.1125,28.4502
77.1088,28.4574
77.1060,28.4659
77.1027,28.4704
77.1015,28.4765
77.1033,28.4831
77.1077,28.4939
77.0903,28.5055
77.0860,28.5109
77.0725,28.5203
77.0675,28.5207
77.0570,28.5139
77.0488,28.5152
77.0417,28.5190
77.0196,28.5333
77.0157,28.5333
77.0002,28.5420
76.9959,28.5369
76.9982,28.5322
77.0050,28.5287
77.0109,28.5180
77.0055,28.5144
76.9903,28.5198
76.9765,28.5238
76.9685,28.5276
76.9227,28.5193
76.9085,28.5149
76.8975,28.5178
76.8937,28.5161
76.8868,28.5112
76.8794,28.5091
76.8738,28.5144
76.8763,28.5284
76.8592,28.5419
76.8567,28.5478
76.8376,28.5570
76.8329,28.5825
76.8502,28.5901
76.8548,28.5924
76.8609,28.6025
76.8779,28.6376
76.8937,28.6328
76.8973,28.6328
76.9040,28.6379
76.9103,28.6378
76.9237,28.6287
76.9260,28.6293
76.9182,28.6533
76.9175,28.6573
76.9231,28.6692
76.9297,28.6744
76.9426,28.6751
76.9473,28.6772
76.9484,28.6880
76.9500,28.6941
76.9542,28.7005
76.9546,28.7054
76.9510,28.7098
76.9413,28.7170
76.9507,28.7365
76.9503,28.7466
76.9474,28.7511
76.9382,28.7596
76.9466,28.7740
76.9440,28.7785
76.9423,28.7878
76.9431,28.7951
76.9374,28.8092
76.9423,28.8207
76.9482,28.8177
76.9558,28.8200
76.9580,28.8303
76.9608,28.8317
76.9706,28.8251
76.9737,28.8258
76.9796,28.8367
76.9897,28.8392
77.0188,28.8371
77.0315,28.8368
77.0377,28.8528
77.0498,28.8732
77.0657,28.8730
77.0701,28.8800
77.0759,28.8845
76.9266,30.8544
76.9278,30.8481
76.9275,30.8374
