Longitude,Latitude
88.75,21.58
88.33,21.50
88.17,22.08
88.00,21.75
87.58,21.58
87.08,21.42
87.08,21.42
86.92,21.08
87.00,20.75
86.75,20.33
86.42,19.92
85.92,19.75
85.50,19.67
85.08,19.33
84.83,19.00
84.50,18.58
84.08,18.25
83.67,18.08
83.33,17.83
83.00,17.42
82.58,17.17
82.33,17.00
82.25,16.58
82.00,16.33
81.50,16.25
81.17,16.17
81.00,15.75
80.42,15.83
80.17,15.42
80.08,15.00
80.17,14.42
80.25,13.83
80.33,13.25
80.25,12.67
80.00,12.17
79.75,11.75
79.75,11.25
79.75,11.25
79.83,10.83
79.83,10.25
79.33,10.25
79.00,9.75
79.00,9.25
78.58,9.17
78.17,8.92
78.00,8.33
77.58,8.08
77.17,8.25
76.83,8.58
76.50,9.00
76.33,9.58
76.17,10.17
76.00,10.67
75.83,11.17
75.58,11.58
75.25,12.00
75.00,12.42
74.83,13.00
74.67,13.50
74.50,14.00
74.42,14.50
74.08,15.00
73.75,15.50
73.50,16.00
73.33,16.42
73.25,17.00
73.17,17.50
73.00,18.08
73.00,18.08
72.83,18.67
73.00,19.00
72.83,19.25
72.67,19.75
72.75,20.25
72.83,20.83
72.58,21.25
72.50,21.67
72.58,22.17
72.33,22.25
72.17,21.83
72.08,21.25
71.67,20.92
71.17,20.75
70.58,20.75
70.08,21.00
69.67,21.42
69.33,21.75
69.08,22.25
69.67,22.25
70.17,22.42
70.33,22.92
69.75,22.75
69.17,22.75
68.67,23.08
68.33,23.50
68.20,23.80
68.70,23.90
68.80,24.20
69.60,24.20
69.60,24.10
70.00,24.10
70.50,24.40
70.80,24.20
71.10,24.40
71.00,25.20
70.80,25.70
70.30,25.80
70.10,26.00
70.20,26.60
69.50,26.80
69.50,27.00
70.40,28.00
70.80,27.70
71.50,27.90
71.80,27.90
72.40,28.70
73.00,29.00
73.50,30.00
74.10,30.30
74.10,30.50
74.60,31.00
74.60,31.70
75.40,32.20
75.10,32.40
74.00,32.90
73.70,33.20
73.60,34.60
74.10,34.90
74.10,35.20
73.70,35.30
73.70,35.60
73.40,35.60
73.10,35.90
72.60,35.90
72.60,36.30
73.00,36.60
73.10,36.80
73.80,36.90
73.60,37.00
74.30,37.00
74.50,37.20
74.70,37.10
75.30,37.20
76.70,36.20
76.70,36.00
76.90,35.80
77.40,35.70
77.50,35.60
79.20,36.00
80.40,35.70
80.00,34.70
79.40,34.00
79.00,34.00
79.00,33.40
79.40,33.30
79.50,32.70
79.10,32.40
78.70,32.60
78.60,32.20
78.80,31.50
78.80,31.40
81.10,30.30
81.10,30.20
80.90,30.00
80.50,29.90
80.20,29.00
80.90,28.90
82.40,28.10
82.60,27.60
84.00,27.60
84.70,28.00
85.50,27.40
87.00,26.90
87.10,27.20
87.40,26.90
88.20,26.80
88.00,27.40
88.20,27.90
88.70,28.10
88.90,27.80
89.00,26.90
90.10,26.80
90.70,27.00
92.10,26.90
92.00,27.50
91.60,27.60
91.70,27.80
92.60,27.90
93.40,28.70
94.00,28.70
94.70,29.40
95.40,29.00
96.10,29.50
96.40,29.30
96.20,29.00
96.50,29.00
96.60,28.70
96.40,28.40
96.70,28.40
97.40,28.30
97.40,27.90
97.00,27.50
97.20,27.10
96.80,27.30
96.20,27.20
95.20,26.70
95.00,25.30
94.20,24.00
94.20,23.70
94.00,23.80
93.40,23.90
93.40,23.10
93.20,22.90
92.70,22.30
92.20,23.70
91.70,23.50
91.30,23.80
91.70,24.10
91.90,24.10
92.40,24.70
92.10,24.90
92.20,25.10
90.70,25.10
89.90,25.30
89.90,26.00
89.40,26.10
89.00,26.40
88.80,26.30
88.50,26.40
88.10,26.00
88.10,25.80
89.00,25.30
89.00,25.20
88.80,25.00
88.60,25.00
88.60,25.20
88.50,25.20
88.40,24.90
88.20,24.90
88.10,24.50
88.60,24.30
88.70,24.20
88.70,23.80
88.60,23.70
88.50,23.50
88.70,23.40
88.80,23.10
89.00,23.00
89.00,22.10
88.90,21.50
